iter    92 | steps   3,014,656 | SPS   1,178 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.338 | KL 0.0170 | H_fire 0.249 H_ang 4.14 H_ship 2.56 | V_loss 0.0033 | LR 0.000100 | early_stop=0
iter    93 | steps   3,047,424 | SPS   1,178 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.338 | KL 0.0137 | H_fire 0.246 H_ang 4.14 H_ship 2.55 | V_loss 0.0024 | LR 0.000100 | early_stop=0
iter    94 | steps   3,080,192 | SPS   1,177 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.334 | KL 0.0102 | H_fire 0.185 H_ang 4.15 H_ship 2.57 | V_loss 0.0038 | LR 0.000100 | early_stop=0
iter    95 | steps   3,112,960 | SPS   1,177 | r_p0 +0.060 r_p1 -0.060 | clip_frac 0.330 | KL 0.0109 | H_fire 0.157 H_ang 4.16 H_ship 2.59 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    96 | steps   3,145,728 | SPS   1,177 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.329 | KL 0.0141 | H_fire 0.210 H_ang 4.16 H_ship 2.59 | V_loss 0.0019 | LR 0.000100 | early_stop=0
iter    97 | steps   3,178,496 | SPS   1,177 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.332 | KL 0.0138 | H_fire 0.257 H_ang 4.16 H_ship 2.59 | V_loss 0.0018 | LR 0.000100 | early_stop=0
iter    98 | steps   3,211,264 | SPS   1,177 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.336 | KL 0.0145 | H_fire 0.269 H_ang 4.15 H_ship 2.58 | V_loss 0.0027 | LR 0.000100 | early_stop=0
iter    99 | steps   3,244,032 | SPS   1,177 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.340 | KL 0.0135 | H_fire 0.254 H_ang 4.15 H_ship 2.57 | V_loss 0.0022 | LR 0.000100 | early_stop=0
iter   100 | steps   3,276,800 | SPS   1,177 | r_p0 +0.060 r_p1 -0.060 | clip_frac 0.340 | KL 0.0159 | H_fire 0.236 H_ang 4.15 H_ship 2.55 | V_loss 0.0035 | LR 0.000100 | early_stop=0
iter   101 | steps   3,309,568 | SPS   1,177 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.339 | KL 0.0167 | H_fire 0.231 H_ang 4.14 H_ship 2.54 | V_loss 0.0022 | LR 0.000100 | early_stop=0
iter   102 | steps   3,342,336 | SPS   1,176 | r_p0 +0.050 r_p1 -0.050 | clip_frac 0.335 | KL 0.0098 | H_fire 0.165 H_ang 4.16 H_ship 2.58 | V_loss 0.0035 | LR 0.000100 | early_stop=0
